series_name,best_model,best_model_mape,trend,seasonality,stationarity
daily_series_3,naive,0.0,0.3643531341630265,0.0,0.9636224775683433
hourly_series_3,arima,0.12474199985510197,0.0912297377695271,0.0,0.9650020814686247
hourly_series_4,naive,0.4999999991752525,0.0007245874064662,0.0,1.0
hourly_series_5,naive,0.9999999937501394,0.0005593418795151,0.0,1.0
weekly_series_7,holt_winters,2.6863018317224205,1.916813584309961,0.0,0.9991528137460495
daily_series_1,naive,3.4395973154362416,0.3457457200245873,0.0,0.9937827377523061
hourly_series_10,arima,5.764214551681009,0.0078698523787617,0.0,0.9989800405367459
hourly_series_1,naive,5.836860617189581,41.72614194426524,0.0,0.9998999634069907
monthly_series_8,naive,7.5,0.2660303902123391,0.0,0.9828754151605802
hourly_series_6,naive,8.33960889049405,0.0048152665650942,0.0,0.9999999999432503
hourly_series_7,naive,8.339608891756928,0.0048152665652104,0.0,0.9999999999432503
daily_series_5,naive,11.016200863886045,0.0226242293476067,0.0,0.9999999999999247
weekly_series_1,naive,12.224107207785645,19116799.501660623,0.0,0.9984054151890182
hourly_series_2,naive,34.16177923271744,5.699967502683357,0.0,1.0
weekly_series_3,naive,38.17074607312429,4602.962977819242,0.0,0.9871634571751661
hourly_series_9,naive,49.99999967143854,0.0061925432931716,0.0,1.0
weekly_series_5,naive,93.04107591448336,181538.27530287244,0.0,0.9994381438761766
daily_series_4,naive,95.75474982002493,7628.620807870094,0.0,0.49645037712151874
weekly_series_2,naive,100.33613492528292,1040.3979845771232,0.0,0.7499659464261503
monthly_series_1,naive,135.83099305501023,3185.7034886355395,0.0,0.9801943795986001
daily_series_8,arima,168.59119582436733,20815.98237511564,0.0,0.9999996903015038
monthly_series_7,naive,174.75113603546333,0.00054448759444,0.0,0.9999999738829631
weekly_series_4,naive,541.2519926594167,0.2643138085945843,0.0,1.0
weekly_series_6,naive,1003.6085591539681,866.7113584647698,0.0,0.9999999999795421
monthly_series_6,naive,1160.3937574078036,0.0015815274371572,0.0,1.0
daily_series_6,naive,1545.0441894205103,0.2649771002597145,0.0,1.0
daily_series_9,naive,1847.5428927894586,2565.791267778552,0.0,0.7322008777068845
monthly_series_5,naive,3476.6375457981703,0.0017759444792568,0.0,0.9999999693955152
monthly_series_2,naive,4258.2016131556375,6.775820507099924e-05,0.0,0.9999888079068271
daily_series_2,naive,349756.616845402,44387.97116411662,1.0,0.9999986660658366
monthly_series_3,naive,107152559.35745475,0.0001240628918598,0.0,0.9628370363507956
monthly_series_4,naive,10824201445.932522,0.0110830769291942,0.0,0.9740146676007698
hourly_series_8,holt_winters,73274282652.77058,0.0682806943063556,0.0,1.0
daily_series_7,naive,1693870236304758.5,0.0890927887807029,0.0,0.9999769207302337
monthly_series_9,naive,5801246977630060.0,0.2708545317698851,0.0,0.9999999999775014
daily_series_10,naive,8859044078664872.0,0.1385690067946895,0.0,0.9999999998941552
